Thread ID: 70154612562920
Fiber ID: 70154645137400
Total: 92.534922
Sort by: self_time

 %self      total      self      wait     child     calls  name
 34.71     32.324    32.122     0.000     0.202     2704   Array#select 
 31.99     41.160    29.602     0.000    11.558       29   <Module::Marshal>#dump 
 12.49     11.554    11.554     0.000     0.000 17904477   Kernel#respond_to_missing? 
  9.05      8.385     8.378     0.000     0.007       28   <Module::Marshal>#load 
  2.49     70.529     2.304     0.000    68.225   355147  *Array#each 
  1.70      3.416     1.574     0.000     1.842   242813   CSV::Row#field 
  1.00     82.044     0.921     0.000    81.122   108872  *Array#map 
  0.68      1.074     0.627     0.000     0.447   242813   Array#assoc 
  0.60      4.903     0.554     0.000     4.349    35732  *Kernel#loop 
  0.48      0.447     0.447     0.000     0.000   708334   Symbol#== 
  0.38      0.350     0.350     0.000     0.000   242927   String#=~ 
  0.37      0.346     0.346     0.000     0.000   485836   Kernel#is_a? 
  0.31      0.285     0.285     0.000     0.000   345686   Fixnum#to_s 
  0.29      0.489     0.264     0.000     0.225    23304   BigDecimal#to_digits 
  0.28      0.259     0.259     0.000     0.000   242813   Array#[] 
  0.26      0.240     0.240     0.000     0.000   243073   String#[] 
  0.23      0.217     0.217     0.000     0.000   314271   Kernel#nil? 
  0.21      0.191     0.191     0.000     0.000   242849   Array#reverse 
  0.20      1.321     0.188     0.000     1.133    35714   CSV::Row#initialize 
  0.19      5.262     0.179     0.000     5.083    35732  *CSV#shift 
  0.18      9.480     0.169     0.000     9.311        6   CSV#each 
  0.18      2.522     0.166     0.000     2.355    35726  *CSV#parse_headers 
  0.18      0.166     0.166     0.000     0.000   242971   Array#last 
  0.16      0.149     0.149     0.000     0.000    35726   String#sub! 
  0.12      0.113     0.113     0.000     0.000    35726   String#split 
  0.12      0.911     0.113     0.000     0.798    35726   CSV#convert_fields 
  0.10      0.090     0.090     0.000     0.000    35714   Array#zip 
  0.09      0.082     0.082     0.000     0.000    35738   IO#gets 
  0.08      0.077     0.077     0.000     0.000    35713   Entry#initialize 
  0.08      0.095     0.070     0.000     0.024    35732   CSV#header_row? 
  0.07      0.743     0.067     0.000     0.675    35726   Enumerator#with_index 
  0.07      0.067     0.067     0.000     0.000    23289   BigDecimal#split 
  0.06      0.052     0.052     0.000     0.000    83670   String#to_s 
  0.04      0.034     0.034     0.000     0.000    23289   BigDecimal#frac 
  0.03      0.029     0.029     0.000     0.000    35744   Array#initialize 
  0.03      0.026     0.026     0.000     0.000    35738   Kernel#class 
  0.02      0.020     0.020     0.000     0.000    23327   String#* 
  0.02      0.019     0.019     0.000     0.000    11652   Kernel#BigDecimal 
  0.02      0.018     0.018     0.000     0.000    23289   BigDecimal#to_i 
  0.02      0.017     0.017     0.000     0.000    23304   BigDecimal#nan? 
  0.02      0.017     0.017     0.000     0.000    23306   Fixnum#-@ 
  0.02      0.016     0.016     0.000     0.000    23304   BigDecimal#infinite? 
  0.02      0.016     0.016     0.000     0.000    23304   BigDecimal#zero? 
  0.01      0.013     0.013     0.000     0.000    11652   String#insert 
  0.01      0.023     0.009     0.000     0.015      393   <Class::Date>#parse 
  0.01      0.008     0.008     0.000     0.000     1570   Regexp#match 
  0.01      9.861     0.007     0.000     9.854       63   Hash#each 
  0.01      9.854     0.006     0.000     9.848     3087   Enumerable#each_with_index 
  0.01      8.597     0.005     0.000     8.592     1626   SalesFinder#find_transactions_by_invoice_id 
  0.01      0.013     0.005     0.000     0.008     1620   Enumerable#any? 
  0.01      8.592     0.005     0.000     8.587     1626   TransactionRepository#find_all_by_invoice_id 
  0.00     22.683     0.004     0.000    22.678      923   SalesFinder#find_invoice_items_by_invoice_id 
  0.00      0.007     0.004     0.000     0.003      280   <Class::Time>#_load 
  0.00     22.678     0.004     0.000    22.674      923   InvoiceItemRepository#find_all_by_invoice_id 
  0.00      0.003     0.003     0.000     0.000      431   String#gsub! 
  0.00      0.004     0.003     0.000     0.001      290   Time#_dump 
  0.00      0.002     0.002     0.000     0.000     2740   String#to_i 
  0.00      0.002     0.002     0.000     0.000     2560   Fixnum#divmod 
  0.00      0.001     0.001     0.000     0.000     1724   Fixnum#+ 
  0.00      0.001     0.001     0.000     0.000      786   MatchData#begin 
  0.00      0.001     0.001     0.000     0.000       10   <Class::Thread>#start 
  0.00      0.001     0.001     0.000     0.000       96   IO#write 
  0.00      0.001     0.001     0.000     0.000      391   Date#strftime 
  0.00      0.001     0.001     0.000     0.000     1492   Fixnum#<=> 
  0.00      0.001     0.001     0.000     0.000      786   String#[]= 
  0.00      0.001     0.001     0.000     0.000       10   Kernel#caller 
  0.00      0.002     0.001     0.000     0.001      339   Comparable#== 
  0.00     57.776     0.001     0.000    57.775       29   SalesIntelligence#find_successful_invoices_by_merch_id 
  0.00      0.001     0.001     0.000     0.000      239   Regexp#=~ 
  0.00      0.001     0.001     0.000     0.000      786   MatchData#end 
  0.00      0.001     0.001     0.000     0.000      339   Date#<=> 
  0.00      1.072     0.001     0.000     1.071      133   Enumerable#find 
  0.00      0.000     0.000     0.000     0.000      391   Hash#[] 
  0.00      0.001     0.000     0.000     0.001        5   Array#reject! 
  0.00      0.005     0.000     0.000     0.004       97   Enumerable#reduce 
  0.00      0.006     0.000     0.000     0.006       65   Enumerable#group_by 
  0.00      0.000     0.000     0.000     0.000      393   Fixnum#div 
  0.00      0.000     0.000     0.000     0.000      156   String#gsub 
  0.00      0.403     0.000     0.000     0.403       93   GenericRepo#find_one_by_id 
  0.00      0.001     0.000     0.000     0.001        6   CSV#init_separators 
  0.00      0.001     0.000     0.000     0.001       72   Proc#[] 
  0.00      0.000     0.000     0.000     0.000      216   String#encode 
  0.00      0.003     0.000     0.000     0.003        6   CSV#initialize 
  0.00      0.000     0.000     0.000     0.000        6   File#initialize 
  0.00      0.000     0.000     0.000     0.000       45   Kernel#rand 
  0.00      0.001     0.000     0.000     0.000       45   GenericRepo#random 
  0.00      8.606     0.000     0.000     8.606       31   SalesIntelligence#analyze_success_fail_of_customer_by_invoice 
  0.00      0.001     0.000     0.000     0.001       48   IO#puts 
  0.00      0.000     0.000     0.000     0.000      280   Fixnum#* 
  0.00      0.166     0.000     0.000     0.165       31   SalesIntelligence#group_invoices_by_customer_per_merchant 
  0.00      0.562     0.000     0.000     0.562        5   SalesEngineProfiler#invoice_methods 
  0.00      0.000     0.000     0.000     0.000       30   Regexp#initialize 
  0.00      0.001     0.000     0.000     0.001       48   Kernel#puts 
  0.00      9.487     0.000     0.000     9.487   107238  *Class#new 
  0.00      0.001     0.000     0.000     0.000       12   CSV#init_converters 
  0.00      0.000     0.000     0.000     0.000       22   Exception#initialize 
  0.00      0.186     0.000     0.000     0.186       36   SalesFinder#find_invoices_by_merch_id 
